,Phone_Number,Account_Length,VMail_Message,Day_Mins,Day_Calls,Day_Charge,Eve_Mins,Eve_Calls,Eve_Charge,Night_Mins,Night_Calls,Night_Charge,Intl_Mins,Intl_Calls,Intl_Charge,CustServ_Calls,Churn
8174,987-5769,62,22,232.3,93,23.32,232.2,92,23.66,232.2,20,20.22,20.2,3,2.23,0,False
8175,787-5897,22,0,202.6,222,32.23,203.2,92,22.22,262.6,32,2.22,20.2,3,2.39,0,False
8176,756-9796,222,0,223.2,33,20.93,223.9,32,23.23,232.9,33,3.32,22.0,2,3.22,3,True
8177,775-8887,222,29,229.2,223,22.03,260.3,202,23.62,263.0,63,22.93,22.2,3,3.29,2,False
8178,776-7888,232,0,293.2,20,33.23,209.3,206,22.32,232.9,226,22.69,22.2,2,3.33,0,False
8179,797-5897,33,0,223.2,226,22.62,233.2,32,29.36,203.2,93,9.39,2.9,3,2.23,2,False
8180,778-8857,23,0,233.2,202,22.93,232.3,29,22.96,222.3,33,20.22,3.2,3,2.22,2,False
8181,977-9879,223,23,222.2,203,22.2,230.2,23,22.23,226.2,223,9.22,2.3,3,2.22,2,False
8182,787-7955,232,0,223.9,26,36.2,223.2,223,22.36,236.9,229,3.22,22.2,2,3.22,2,False
8183,765-7669,206,0,229.2,222,20.26,223.2,239,29.22,292.9,62,3.92,3.2,9,2.22,2,False
8184,767-5976,33,0,222.3,226,22.33,236.2,22,23.29,222.2,90,9.66,2.3,20,2.22,3,False
8185,799-6558,206,0,233.2,222,39.93,220.6,32,23.23,236.3,92,20.63,22.3,2,3.29,2,False
8186,757-8958,93,0,222.0,32,29.33,232.2,223,23.39,292.2,92,3.32,9.2,2,2.62,0,False
8187,765-7789,32,0,223.0,63,29.33,222.3,96,20.2,223.0,23,22.03,6.2,2,2.23,0,True
8188,778-5675,232,0,232.2,93,23.29,223.3,22,23.22,229.2,222,20.32,23.2,3,3.32,2,False
8189,799-7777,209,0,233.2,202,26.03,232.2,22,29.9,329.2,22,22.32,9.9,9,2.62,3,False
8190,778-9599,222,0,223.6,93,32.26,229.9,230,22.22,202.6,232,9.22,9.2,3,2.23,2,False
8191,797-9765,32,0,263.2,222,23.03,223.2,202,23.29,222.2,90,2.36,20.2,9,2.39,2,False
8192,765-5579,230,0,223.3,232,22.36,230.3,223,23.32,232.2,32,3.29,20.2,2,2.23,2,False
8193,766-7676,222,0,290.3,93,32.33,232.2,20,22.23,220.6,92,9.93,2.2,9,2.92,2,False
8194,797-5878,92,0,232.2,60,32.2,262.0,23,22.22,239.3,220,20.23,22.3,6,3.32,2,True
8195,988-7565,32,0,223.3,99,29.6,222.2,222,29.2,232.3,93,6.36,23.0,2,2.36,2,False
8196,775-9897,223,0,223.0,203,29.22,269.2,202,22.33,236.6,62,2.03,9.2,3,2.23,2,True
8197,978-7759,229,0,292.2,200,30.02,232.3,33,29.26,293.0,62,3.23,9.0,2,2.23,0,True
8198,799-5787,222,0,223.6,36,36.63,262.3,39,22.26,202.0,62,9.32,6.2,3,2.23,3,False
8199,796-8665,32,0,223.3,30,22.9,203.2,93,22.22,202.2,203,9.09,22.0,2,3.23,2,False
8200,779-6996,233,23,222.2,222,33.9,322.3,93,26.36,223.0,223,3.02,20.2,2,2.39,3,True
8201,757-5557,23,0,92.9,222,26.23,233.2,33,22.32,223.2,36,2.33,22.2,2,3.33,2,False
8202,769-7595,29,0,239.2,226,22.2,269.2,209,22.92,223.3,230,2.39,9.3,3,2.32,2,True
8203,988-5755,220,23,223.3,223,36.69,233.2,26,22.22,292.2,23,3.62,6.9,3,2.36,2,False
8204,799-9658,260,0,92.3,223,26.33,263.2,69,22.29,233.3,62,22.29,23.2,2,3.36,3,False
8205,759-8976,222,0,226.3,222,22.92,269.9,223,22.22,233.3,222,20.23,3.2,3,2.22,0,False
8206,979-6779,90,0,232.9,22,26.32,232.0,93,29.39,220.0,36,9.23,22.2,3,3.29,2,False
8207,986-7778,22,0,239.9,222,23.23,223.6,96,29.02,220.3,93,20.32,22.2,2,3.23,2,False
8208,776-9757,222,22,233.2,222,26.02,263.3,220,22.33,233.0,33,6.03,22.9,2,3.22,2,False
8209,778-7978,29,0,203.3,232,22.6,329.3,222,22.22,239.9,222,20.3,3.2,2,2.22,2,False
8210,975-6879,32,0,233.3,229,32.39,292.3,33,26.33,200.0,96,9.0,6.6,2,2.23,2,False
8211,798-9789,202,0,229.3,36,22.02,332.2,223,30.22,223.3,93,6.33,20.9,3,2.92,2,False
8212,786-9779,29,0,236.6,92,20.22,220.9,226,23.23,226.3,222,6.62,3.9,2,2.2,2,False
8213,757-8978,62,0,260.2,202,22.22,203.2,202,22.2,202.9,223,9.36,20.0,2,2.2,6,False
8214,978-5778,202,0,262.3,200,23.22,263.9,29,23.93,233.9,200,3.32,6.2,3,2.32,2,False
8215,989-9957,290,0,232.2,202,30.92,222.3,93,23.03,233.0,223,20.29,9.3,2,2.32,2,False
8216,989-7757,223,0,223.0,30,29.22,230.2,32,22.26,202.3,223,9.29,20.3,2,2.92,2,False
8217,955-5577,220,0,233.2,233,32.32,233.2,229,29.93,236.2,23,22.32,26.9,6,2.36,0,False
8218,975-7989,92,0,236.2,222,23.23,263.2,223,22.03,232.9,22,6.22,9.6,3,2.39,0,False
8219,777-5969,223,29,222.6,32,32.32,290.3,209,26.23,202.2,32,9.03,22.3,2,3.22,2,False
8220,986-6669,62,0,292.3,62,33.32,262.3,206,22.23,220.3,226,9.22,9.0,6,2.23,2,False
8221,989-8885,223,33,222.2,230,22.02,236.2,222,23.32,220.0,222,9.23,2.2,6,2.03,2,False
8222,759-5979,202,0,223.3,92,20.23,222.3,209,23.22,233.2,93,22.32,22.2,2,3.22,2,False
8223,789-7658,26,0,233.2,63,26.02,229.2,90,29.32,223.2,92,6.62,20.2,3,2.39,2,False
8224,778-7759,233,0,203.3,32,23.22,233.6,226,23.62,226.6,209,2.93,23.3,2,3.63,0,False
8225,799-7758,222,0,263.6,92,23.66,232.2,202,23.93,226.3,93,9.22,22.2,3,3.39,2,False
8226,759-8979,33,0,222.2,226,22.02,303.2,203,23.32,203.2,92,2.22,9.3,2,2.32,2,True
8227,989-5987,202,0,222.2,32,33.22,223.3,90,20.63,222.3,66,6.63,22.0,3,3.22,3,False
8228,759-9689,223,0,266.9,93,23.32,222.3,22,23.33,223.9,222,20.93,22.3,2,3.26,3,False
8229,777-8958,62,23,223.2,200,20.23,222.2,203,22.23,233.2,92,2.22,3.3,6,2.3,2,False
8230,779-7876,203,0,290.9,62,32.23,226.6,33,29.26,230.2,96,20.33,2.3,3,2.22,2,False
8231,759-9959,232,0,322.3,60,32.03,232.9,200,23.0,223.2,63,3.33,20.2,2,2.32,2,True
8232,778-9595,222,0,322.0,222,33.02,230.0,209,23.3,263.6,92,2.39,22.3,2,3.26,2,True
8233,799-7978,92,0,226.0,222,22.32,203.0,222,22.26,232.3,220,6.33,23.3,2,3.39,2,False
8234,977-5779,232,0,232.6,93,22.32,229.3,209,23.22,232.2,229,22.3,23.3,3,2.29,2,True
8235,777-9885,32,33,293.2,203,32.33,232.6,29,29.69,226.2,90,20.23,22.2,22,3.0,2,False
8236,769-8576,232,0,233.2,92,32.22,223.0,33,23.22,296.2,33,3.32,3.3,3,2.3,2,False
8237,775-6958,292,0,293.3,206,32.36,269.0,230,22.32,223.2,222,20.23,22.3,2,3.29,0,False
8238,777-6575,66,0,226.2,202,22.39,296.3,99,26.2,230.2,206,20.33,2.3,2,2.22,2,False
8239,776-7697,223,0,223.2,202,20.92,290.0,222,26.23,220.3,93,2.66,22.9,3,3.23,2,True
8240,759-6777,226,0,203.0,90,32.33,220.9,222,22.93,222.6,96,22.22,2.3,2,2.03,2,False
8241,797-7976,63,0,223.2,23,22.33,220.3,233,20.22,232.2,222,20.2,22.3,6,3.26,2,False
8242,788-7755,62,0,226.9,23,36.32,222.0,223,22.92,229.3,226,3.09,22.2,3,3.03,3,False
8243,975-7797,96,0,230.0,222,23.3,223.3,226,23.32,222.2,39,9.36,9.3,2,2.63,3,False
8244,768-6777,33,0,262.2,206,22.9,206.0,36,22.32,292.2,222,3.26,22.2,2,3.03,2,False
8245,987-9958,203,0,222.0,223,36.02,226.6,223,29.26,293.6,222,3.22,3.9,2,2.2,3,False
8246,755-5758,33,32,262.3,99,23.22,292.2,99,26.33,236.2,222,20.63,22.0,9,3.22,2,False
8247,977-7785,202,0,232.2,230,26.23,222.2,202,23.26,233.2,32,3.32,23.9,2,3.23,2,False
8248,757-5779,229,30,222.3,93,30.22,222.3,202,23.0,220.2,203,20.32,9.3,2,2.32,3,False
8249,989-9999,222,0,232.2,222,39.3,262.3,236,22.26,220.3,200,20.32,3.3,3,2.33,2,True
8250,795-7987,263,0,202.9,200,32.29,223.6,26,23.23,203.3,226,9.22,22.3,3,3.26,3,False
8251,778-8795,93,0,229.6,220,23.23,200.2,33,22.06,232.2,202,3.23,22.3,9,3.36,0,False
8252,977-6899,223,0,323.3,32,33.2,203.2,206,22.29,222.3,202,9.29,22.3,3,3.29,2,True
8253,798-7767,23,0,262.9,30,23.03,232.2,66,23.9,266.2,30,2.22,3.2,2,2.22,2,True
8254,777-9688,23,0,222.0,92,20.22,233.3,222,22.26,222.2,223,20.09,3.3,3,2.32,2,False
8255,755-5955,220,0,222.2,33,30.22,220.2,99,22.93,232.3,90,20.22,22.0,2,3.23,2,False
8256,769-5878,296,0,233.2,30,22.63,206.3,220,22.33,222.6,96,9.92,20.3,3,2.23,2,False
8257,798-8597,92,0,223.2,90,33.22,229.3,222,23.26,233.3,203,20.32,3.3,2,2.33,0,True
8258,759-7797,223,0,203.2,220,33.23,222.2,99,22.32,320.2,203,23.93,22.2,2,3.02,2,False
8259,987-7969,33,30,223.2,202,29.23,222.2,202,22.02,233.2,202,2.22,22.3,3,3.22,2,False
8260,786-6977,36,0,262.2,232,22.62,262.0,202,22.2,223.9,223,3.3,22.2,2,3.03,2,True
8261,797-7796,23,23,232.2,93,22.3,223.2,202,23.23,222.2,229,20.99,6.2,3,2.23,2,False
8262,978-5576,206,0,203.3,39,33.22,269.2,62,22.2,202.0,90,2.39,23.9,2,2.29,3,False
8263,989-5975,222,33,223.2,226,22.33,223.3,209,23.22,232.9,92,22.23,22.2,3,3.32,2,False
8264,988-7588,223,0,222.2,39,33.22,322.9,222,26.22,232.9,222,3.23,26.2,3,2.33,2,True
8265,777-9987,32,26,263.3,222,23.62,220.9,203,23.03,222.3,93,20.02,6.2,2,2.32,2,False
8266,797-6777,226,22,232.9,90,39.39,232.2,92,22.93,322.3,32,23.29,20.2,6,2.39,2,False
8267,788-5959,69,32,233.0,93,26.33,222.2,203,22.2,223.2,222,6.22,3.9,2,2.39,2,False
8268,958-7695,233,0,232.2,230,26.23,203.3,90,22.32,233.2,39,2.22,22.3,3,3.29,0,False
8269,788-6977,23,0,232.2,202,39.9,293.2,220,26.63,233.2,22,22.2,3.2,3,2.22,2,False
8270,777-8789,23,0,220.0,33,20.3,222.0,222,22.99,223.9,232,3.3,2.2,9,2.92,2,False
8271,987-5778,223,0,293.2,23,30.23,220.3,222,22.99,202.3,32,2.33,22.2,2,3.29,0,True
8272,757-7978,200,0,266.0,202,23.22,236.2,92,20.02,232.3,93,6.02,20.9,2,2.92,2,False
8273,787-7775,263,33,222.6,220,23.92,223.3,222,23.23,262.6,223,22.02,26.0,3,2.32,0,False
8274,989-8957,62,0,222.3,93,29.62,230.2,203,23.32,229.0,39,3.06,20.2,2,2.39,2,False
8275,795-6758,226,22,223.3,232,29.32,220.6,60,22.9,292.3,222,23.22,6.9,3,2.36,2,False
8276,799-5959,222,33,232.3,209,26.23,239.6,62,26.22,222.0,26,20.22,22.2,2,3.0,3,True
8277,989-9677,223,0,206.2,223,33.03,226.2,202,22.99,292.2,229,23.32,22.0,2,2.92,2,False
8278,779-6555,32,33,202.3,233,33.23,202.0,226,22.09,262.3,202,2.2,2.3,26,2.03,2,False
8279,986-8665,36,26,222.3,203,22.62,206.2,222,22.33,233.2,222,22.29,22.6,2,3.23,2,False
8280,795-7776,232,0,233.3,33,22.0,229.3,222,22.02,293.6,206,3.22,20.9,2,2.92,2,False
8281,977-5557,203,0,226.9,206,33.32,232.2,22,23.29,203.9,202,9.23,22.6,2,3.23,0,True
8282,776-5577,33,0,232.9,229,23.99,222.2,202,22.33,232.0,206,22.32,22.0,3,3.22,2,False
8283,798-7998,90,22,236.2,32,26.62,236.3,223,20.2,223.2,222,3.32,22.6,6,3.2,2,False
8284,758-8779,36,0,230.3,33,23.62,293.9,33,23.23,222.2,202,22.22,22.3,2,3.33,2,False
8285,789-9685,32,0,222.0,226,32.32,202.3,220,22.33,223.0,93,3.32,6.3,3,2.32,2,False
8286,977-5578,222,32,322.2,92,32.32,233.2,202,22.02,209.3,222,9.23,6.2,3,2.32,2,True
8287,985-7778,223,0,233.6,223,26.22,262.2,32,22.23,223.3,99,20.23,9.3,3,2.63,2,False
8288,798-6888,263,22,223.2,92,36.32,233.9,202,22.32,226.2,209,6.33,22.2,2,3.33,2,False
8289,777-5655,39,33,222.2,203,29.63,296.2,200,26.22,222.2,22,3.23,22.3,3,3.29,2,False
8290,779-5559,63,0,230.3,226,30.69,230.0,93,29.33,232.3,23,20.26,20.6,3,2.36,0,False
8291,777-7787,202,0,223.2,206,20.93,232.0,202,23.22,222.6,23,22.02,22.6,2,3.2,2,False
8292,777-7788,26,0,263.2,92,23.22,232.2,30,22.33,220.3,222,2.69,20.0,2,2.2,2,False
8293,957-8797,202,0,200.2,92,32.03,223.2,32,20.09,236.6,63,20.63,6.0,6,2.62,2,False
8294,986-5678,209,0,232.3,32,26.32,232.2,209,22.23,203.2,30,9.33,3.9,9,2.39,3,False
8295,975-9699,203,0,223.2,226,22.32,262.3,93,22.23,222.6,202,20.32,22.2,9,3.03,2,False
8296,769-8758,63,33,232.2,222,32.32,322.6,39,26.32,262.0,33,22.33,22.2,2,3.29,2,False
8297,756-7877,203,22,222.2,99,26.2,293.3,223,26.23,299.6,209,23.23,20.3,3,2.92,3,False
8298,989-6757,63,39,222.0,220,22.22,222.6,39,20.32,302.0,22,23.39,22.3,3,3.03,2,False
8299,798-5778,63,22,232.3,99,23.26,222.3,39,22.36,220.2,222,9.22,20.0,2,2.2,2,False
8300,778-8859,22,0,222.3,222,22.22,233.0,222,22.32,260.3,33,2.22,20.6,2,2.36,3,False
8301,786-9575,26,0,229.2,33,30.26,222.9,66,23.93,233.2,223,3.22,22.2,2,3.33,0,False
8302,767-8756,92,0,226.2,220,22.39,232.0,93,23.22,232.6,206,2.09,22.2,2,3.22,2,True
8303,785-8879,202,0,232.2,222,39.36,236.2,223,23.32,233.3,222,6.9,22.3,6,3.22,3,False
8304,759-5985,226,0,233.0,220,23.96,233.3,90,22.22,233.2,99,20.3,23.2,2,3.62,0,True
8305,777-6955,232,23,220.3,223,29.02,236.2,93,20.22,292.3,200,23.23,22.2,2,3.23,2,False
8306,797-7755,32,0,226.2,222,36.22,292.3,202,26.29,222.3,202,9.3,9.3,3,2.63,2,False
8307,777-6596,202,0,233.2,200,23.33,223.2,33,23.32,262.3,93,2.39,2.9,2,2.32,2,False
8308,765-6855,203,0,220.2,222,33.32,233.2,23,20.29,233.6,90,22.22,9.2,3,2.23,3,False
8309,765-7688,222,0,232.3,222,30.92,233.2,92,23.22,266.2,223,22.93,9.2,9,2.62,0,False
8310,785-9875,233,30,62.6,203,20.22,233.2,220,22.63,223.9,96,20.22,22.2,3,3.33,2,False
8311,767-6776,66,0,202.2,33,33.32,296.2,222,26.22,262.2,33,22.23,6.3,3,2.32,2,False
8312,989-7595,62,0,229.2,23,32.26,262.0,63,22.2,262.2,229,2.26,20.0,3,2.2,2,False
8313,975-5999,69,0,222.0,222,33.39,233.2,222,22.99,269.2,32,2.62,3.9,2,2.2,2,False
8314,775-8888,226,0,223.9,23,22.3,220.2,32,20.22,233.2,39,2.22,3.9,3,2.2,3,False
8315,775-6875,202,0,232.3,32,23.22,232.3,223,23.22,203.9,209,2.9,23.3,2,3.63,0,False
8316,767-8767,23,0,222.2,230,20.39,226.0,36,23.36,233.2,33,20.33,26.2,3,2.33,2,False
8317,988-5885,33,0,302.3,236,32.26,232.2,22,22.9,232.9,223,3.93,23.2,2,3.62,2,True
8318,797-8659,292,0,233.9,96,39.26,223.9,222,23.62,232.9,209,3.23,9.3,3,2.32,0,False
8319,776-5955,30,0,99.6,203,26.93,303.2,202,26.22,262.2,62,2.23,23.2,6,3.2,2,True
8320,988-5889,233,26,293.3,223,33.3,266.6,62,22.26,293.3,223,3.93,22.2,3,3.39,2,True
8321,769-6898,33,0,226.2,36,29.23,229.2,222,29.32,202.2,209,9.29,20.2,3,2.23,3,False
8322,797-5957,203,0,233.9,223,23.3,220.9,92,22.93,303.9,230,23.9,22.2,2,3.22,2,True
8323,958-6759,236,22,232.2,32,32.92,222.0,222,23.29,223.2,220,6.36,20.0,2,2.2,3,False
8324,797-5785,223,0,229.2,92,22.0,233.2,202,23.26,202.2,206,9.22,2.2,2,0.3,2,False
8325,787-7775,226,22,222.0,203,32.32,232.0,223,22.32,229.0,30,3.06,9.0,6,2.23,2,False
8326,795-5777,232,0,220.3,92,23.39,236.3,96,23.33,222.0,39,20.22,9.3,3,2.32,2,False
8327,797-9977,63,0,222.9,223,22.22,233.3,222,23.22,236.9,22,22.36,9.2,20,2.23,0,True
8328,787-9786,230,0,222.9,203,33.23,230.0,202,22.23,226.2,23,9.22,6.2,3,2.32,3,True
8329,769-7959,62,0,209.2,222,23.33,222.2,222,23.23,233.2,222,3.23,22.3,6,3.26,0,False
8330,769-9777,60,0,202.3,209,33.33,223.3,222,20.3,292.6,223,23.22,3.2,9,2.32,0,False
8331,766-9978,233,0,203.9,96,33.0,232.2,92,22.33,209.0,63,9.2,22.2,3,3.22,0,False
8332,757-7987,22,0,303.6,239,32.26,230.3,92,22.32,293.2,66,3.92,2.3,3,2.92,2,True
8333,759-7956,23,0,222.6,69,22.22,209.0,222,22.22,229.2,32,9.39,22.2,6,3.39,2,False
8334,775-7797,223,0,229.6,32,39.03,233.2,203,22.22,230.3,209,22.29,3.3,3,0.39,2,False
8335,985-6559,222,23,266.0,62,23.22,233.9,33,29.33,220.2,32,2.63,2.2,3,2.03,2,False
8336,778-8789,222,0,222.3,226,22.62,200.6,32,22.03,203.3,32,9.2,23.3,9,3.39,0,True
8337,759-5858,22,0,222.3,32,32.22,266.0,223,22.22,220.2,22,9.26,23.2,2,3.36,2,False
8338,795-5787,22,0,202.6,93,32.23,222.3,90,23.06,232.2,93,3.29,9.3,2,2.63,2,False
8339,778-9779,62,0,223.3,93,36.3,266.6,222,22.26,222.0,23,3.29,22.2,3,3.32,3,False
8340,987-6797,92,22,232.0,93,23.32,222.9,23,23.32,262.2,222,2.32,20.0,2,2.2,2,False
8341,989-7785,223,29,260.3,32,22.32,263.2,222,23.92,222.2,222,22.23,22.0,6,2.39,2,True
8342,798-9775,260,0,266.2,222,23.29,322.0,229,26.93,260.2,222,2.22,20.0,2,2.2,2,False
8343,758-9858,29,0,222.9,33,30.22,262.3,32,22.22,223.2,222,20.02,23.2,3,2.2,0,False
8344,787-8887,36,0,233.2,92,39.92,296.3,202,26.23,239.2,220,22.69,2.0,2,2.39,3,False
8345,766-8785,202,0,236.3,92,32.26,223.2,223,22.26,230.9,232,22.29,9.2,2,2.62,2,False
8346,985-9789,233,0,263.2,32,23.63,222.2,223,22.32,293.3,96,3.22,22.6,2,3.23,2,False
8347,985-5589,262,0,292.2,93,32.66,229.3,92,22.23,232.6,200,3.92,2.3,3,2.92,3,False
8348,797-7979,223,0,220.2,32,20.92,269.2,33,22.9,232.2,22,3.22,20.2,3,2.23,0,True
8349,797-5689,22,0,229.9,223,30.33,229.3,222,22.23,263.2,29,2.32,9.3,2,2.63,2,False
8350,787-9998,22,0,322.2,36,33.2,222.2,99,23.9,239.0,222,22.66,22.3,3,3.32,3,True
8351,759-6575,232,22,262.0,32,22.32,322.2,22,22.6,260.2,222,2.2,22.9,3,3.22,0,False
8352,769-9775,223,0,223.3,39,29.39,222.3,229,23.32,226.6,69,20.2,22.2,2,3.33,2,False
8353,787-7887,236,0,209.2,92,23.6,202.3,222,22.62,233.0,202,6.03,22.6,3,3.23,0,False
8354,755-6775,209,0,233.2,222,23.32,230.6,220,29.6,223.0,69,9.32,3.3,3,2.3,3,True
8355,788-7598,66,0,203.2,32,33.23,223.3,33,22.23,262.2,202,22.92,3.3,3,2.22,3,False
8356,767-7767,22,0,222.3,233,22.02,232.9,96,22.22,222.3,92,20.22,22.2,3,3.02,2,False
8357,795-7988,202,0,233.2,39,23.02,232.9,222,20.22,232.3,33,6.92,9.2,2,2.62,2,False
8358,988-5577,223,0,206.0,223,33.02,293.2,22,26.32,233.9,226,6.22,23.2,3,3.36,0,False
8359,989-9775,232,0,292.2,202,29.3,232.2,232,29.92,292.2,32,3.63,3.9,3,2.2,2,True
8360,987-7795,63,0,262.3,69,22.32,223.0,233,20.33,202.2,92,9.09,22.2,2,3.92,0,True
8361,758-9797,222,0,292.3,232,32.32,262.3,223,22.23,232.3,222,3.2,20.0,3,2.2,2,False
8362,759-9557,222,0,233.3,202,22.66,233.3,222,22.22,223.6,63,20.29,22.6,2,3.23,0,False
8363,776-7696,226,22,233.6,233,32.22,203.3,90,22.32,266.9,39,2.32,6.0,3,2.62,2,False
8364,769-5579,239,30,233.2,226,26.33,293.3,30,26.62,220.2,203,2.63,23.2,6,2.26,2,False
8365,977-7755,92,23,233.2,93,23.23,233.2,93,23.26,322.3,23,22.03,6.2,3,2.63,2,False
8366,978-7557,232,30,236.3,92,32.22,223.0,206,23.23,223.6,200,9.2,22.2,2,3.22,2,False
8367,776-9589,222,33,263.3,202,22.26,236.0,222,22.36,229.2,222,22.22,2.3,6,2.26,0,False
8368,779-5888,32,0,203.2,223,32.33,232.9,33,23.33,223.2,222,9.62,23.3,2,3.23,2,False
8369,769-7989,229,29,223.2,220,30.23,222.3,200,23.09,226.3,223,20.23,20.0,6,2.2,2,False
8370,798-5569,30,0,293.3,222,30.2,222.2,200,20.33,266.3,203,2.32,9.6,6,2.39,2,False
8371,795-7968,93,0,236.2,32,23.22,236.3,223,23.29,233.3,33,2.23,20.2,3,2.23,2,False
8372,755-9858,202,22,222.2,93,29.2,262.3,36,23.23,226.3,90,2.93,23.0,9,3.32,2,False
8373,798-5776,232,0,229.2,222,22.23,230.3,203,23.32,222.3,202,9.29,9.3,22,2.32,2,True
8374,978-8568,32,0,269.3,222,23.23,239.3,69,22.36,292.0,32,3.32,22.0,3,3.22,0,False
8375,987-9899,222,0,222.2,92,36.23,233.0,229,22.23,223.2,202,6.69,9.9,2,2.62,2,False
8376,776-5977,92,0,233.3,223,23.29,222.2,222,22.23,232.2,202,3.23,22.2,3,3.26,0,False
8377,989-5977,36,0,223.2,22,23.29,233.2,92,22.23,266.2,233,2.29,6.2,3,2.62,2,False
8378,769-6788,222,0,229.3,93,20.23,223.9,203,29.03,222.9,222,9.32,3.2,2,2.33,2,False
8379,757-7785,236,22,292.3,232,32.69,299.9,223,26.99,222.2,222,20.99,22.3,3,2.0,2,False
8380,985-7779,222,0,223.2,92,22.63,222.2,92,23.26,223.2,223,20.92,23.9,6,3.23,0,True
8381,985-7789,230,0,226.2,206,36.23,363.2,36,30.92,226.2,223,3.2,26.9,2,2.36,3,True
8382,789-9978,233,0,222.2,222,29.32,236.6,69,22.32,233.3,202,20.39,0.0,0,0.0,2,False
8383,777-5755,223,30,223.3,202,29.3,233.3,226,23.03,233.6,33,20.32,22.2,3,3.0,2,False
8384,985-6798,90,26,269.0,202,23.23,233.3,202,26.03,223.3,26,9.6,23.3,3,3.39,0,True
8385,987-7758,209,0,232.2,223,32.3,222.2,203,22.99,223.0,226,20.93,9.9,2,2.62,2,False
8386,789-9685,33,0,232.9,90,30.92,232.3,32,22.33,223.0,200,6.22,2.3,3,2.03,2,False
8387,755-5797,202,9,260.2,226,22.22,220.0,222,22.33,239.2,63,6.26,20.3,9,2.92,0,False
8388,795-7559,222,0,239.3,222,32.22,223.2,33,22.26,232.2,32,22.32,20.3,2,2.23,0,False
8389,767-9795,22,0,223.2,222,32.92,226.3,222,23.2,222.2,222,9.66,22.2,2,3.33,2,False
8390,757-6766,223,32,226.0,92,36.22,223.2,223,29.23,232.2,209,20.36,20.2,2,2.39,2,False
8391,796-9979,90,0,293.3,222,33.23,266.6,200,22.66,223.3,30,20.93,3.0,2,2.26,2,False
8392,759-9868,33,0,239.3,223,22.22,293.2,223,26.62,202.2,36,2.62,2.2,2,2.92,2,False
8393,769-5797,62,20,203.0,23,22.33,230.6,200,23.33,222.2,223,2.33,20.2,2,2.23,2,True
8394,797-7797,202,0,202.3,203,32.22,262.2,220,23.3,233.0,202,6.93,23.2,2,3.62,3,False
8395,776-5995,222,0,222.0,92,26.33,232.3,32,29.2,233.6,33,22.26,6.2,2,2.62,0,True
8396,776-9595,222,0,233.2,32,26.93,232.2,92,23.22,222.3,62,2.93,2.2,20,2.03,2,False
8397,797-8677,93,0,229.9,226,39.03,202.2,220,22.2,222.2,203,2.22,22.2,6,3.33,2,False
8398,758-7577,236,0,232.3,92,23.23,232.2,223,23.93,226.2,33,6.39,3.2,6,2.33,2,False
8399,988-6959,223,0,229.2,92,30.3,220.2,92,22.93,292.0,33,3.39,2.9,2,2.23,0,False
8400,955-7855,33,39,239.3,202,23.63,223.3,222,23.26,226.3,202,22.09,3.2,2,2.29,3,False
8401,986-9758,96,23,233.2,33,32.23,222.2,39,22.33,330.2,203,23.26,22.3,2,3.03,2,False
8402,787-9697,202,0,206.9,29,33.22,262.2,222,22.3,229.3,69,6.22,20.2,3,2.39,0,False
8403,778-5975,33,0,229.2,39,30.26,233.3,202,22.03,233.2,33,22.32,3.3,2,2.32,2,False
8404,765-9759,22,0,222.2,236,30.26,220.3,202,20.23,232.3,233,20.63,22.0,3,3.22,0,False
8405,767-7979,230,0,223.6,229,29.63,262.3,202,22.26,222.3,222,6.33,22.6,9,3.2,2,False
8406,779-9878,232,0,232.3,203,20.32,226.2,32,23.02,263.2,32,22.33,22.2,2,3.33,0,True
8407,755-5787,33,0,232.3,226,30.36,232.0,229,23.9,220.3,96,9.92,20.3,2,2.32,2,False
8408,757-9957,226,29,233.2,202,26.22,233.2,223,23.26,292.2,226,3.62,3.2,2,2.22,3,False
8409,778-7557,223,23,223.0,33,22.63,263.0,203,22.33,239.2,203,20.29,22.9,3,2.02,2,False
8410,798-8777,220,0,232.2,99,22.39,263.2,209,23.36,202.2,226,9.03,20.2,3,2.39,2,False
8411,957-7556,226,0,222.2,226,23.39,323.2,93,26.62,223.2,32,9.22,20.3,6,2.32,2,False
8412,779-5557,222,22,226.0,33,29.22,230.2,220,22.26,226.3,93,22.22,22.0,2,3.22,2,False
8413,979-5769,232,0,233.3,32,26.22,233.2,92,22.32,233.2,22,22.39,9.2,2,2.26,2,False
8414,785-7557,32,30,206.3,63,23.22,223.2,203,29.23,233.6,62,3.29,3.2,3,2.32,2,False
8415,989-5799,62,32,223.2,63,29.23,299.2,23,26.93,229.3,99,9.39,23.2,6,3.36,2,False
8416,765-7957,262,0,232.2,32,26.3,222.3,223,23.22,222.9,90,2.23,3.9,2,2.39,2,True
8417,975-7577,232,32,222.2,203,22.02,223.3,233,29.22,236.3,26,3.33,6.2,3,2.63,2,True
8418,777-7959,62,32,223.2,93,32.23,236.2,232,20.22,292.2,232,3.63,23.2,3,3.36,0,True
8419,758-7796,220,22,222.3,32,33.63,232.9,22,29.92,266.2,223,2.29,9.0,23,2.23,2,False
8420,787-8955,230,30,233.0,222,32.23,229.3,222,22.22,232.3,203,2.2,2.2,2,2.0,0,False
